condition,condition_label,n,tokens_n,tokens_sum,tokens_mean,tokens_median,tokens_sd,tokens_q1,tokens_q3,tokens_minimum,tokens_maximum,passed_n,passed_sum,passed_mean,passed_median,passed_sd,passed_q1,passed_q3,passed_minimum,passed_maximum,score_mean,score_median,tokens_per_pass,mean_run_tokens_per_pass,elapsed_median
normal,通常条件,10,10,71287304.0,7128730.4,7248219.0,1159572.963361963,6415808.0,7754484.0,5014337.0,9080470.0,10,402.0,40.2,40.0,4.756282395129858,39.0,42.0,31.0,50.0,70.5263157894737,70.17543859649123,177331.60199004976,181094.44389157413,663.2789264054998
anti,不整合条件,10,10,63034683.0,6303468.3,6139945.0,1745304.8601868353,5150531.75,7039189.0,3965456.0,9125827.0,10,258.0,25.8,30.0,10.726913193769523,22.25,31.75,3.0,39.0,45.26315789473684,52.63157894736842,244320.47674418605,393902.1429398628,713.9223807839999
