planned_run,run_id,condition,feature_id,requested_ids,passed_ids,pass_percent
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-007,3,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-008,4,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-009,2,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-010,3,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-011,2,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-012,2,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-013,2,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-014,2,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-015,1,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-016,3,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-017,2,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-018,3,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-019,3,0,0.0
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,F-020,4,0,0.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-001,4,3,75.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-002,4,3,75.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-003,2,2,100.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-004,3,1,33.333333333333336
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-005,2,0,0.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-006,6,1,16.666666666666668
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-007,3,0,0.0
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,F-008,4,2,50.0
