condition,runs,total_tokens,http_200,http_400,tokens_per_200,mean_elapsed_seconds
anti,10,63034683,1154,4,54622.775563258234,736.5443646806996
normal,10,71287304,1270,25,56131.73543307087,717.6602824333997
