stratum,model,condition,feature_id,title,n,ids_per_run,mean_pass_rate
additional,all,normal,F-005,申請の下書き保存,18,2,33.333333333333336
additional,all,normal,F-006,申請の提出（申請番号採番・承認者決定）,18,6,79.62962962962963
additional,all,normal,F-007,申請一覧表示,18,3,66.66666666666667
additional,all,normal,F-008,申請の検索・絞り込み,18,4,76.38888888888889
additional,all,normal,F-009,申請詳細表示,18,2,50.0
additional,all,normal,F-010,承認者による承認処理,18,3,70.37037037037037
additional,all,normal,F-011,承認者による差し戻し処理,18,2,55.55555555555556
additional,all,normal,F-012,申請者による申請取り消し,18,2,63.888888888888886
additional,all,normal,F-013,申請ステータス管理（遷移定義）,18,2,41.666666666666664
additional,all,normal,F-014,メール通知,18,2,72.22222222222223
additional,all,normal,F-015,承認履歴表示,18,1,5.555555555555555
additional,all,normal,F-016,CSVエクスポート,18,3,48.14814814814815
additional,all,normal,F-017,ダッシュボード,18,2,47.22222222222222
additional,all,normal,F-018,ユーザー一覧・編集（管理者機能）,18,3,75.92592592592592
additional,all,normal,F-019,パスワード変更,18,3,77.77777777777779
additional,all,normal,F-020,システム設定（管理者機能）,18,4,70.83333333333333
additional,all,anti,F-001,ユーザー登録,19,4,88.15789473684211
additional,all,anti,F-002,ログイン・ログアウト,19,4,63.1578947368421
additional,all,anti,F-003,申請書の新規作成,19,2,57.89473684210526
additional,all,anti,F-004,申請内容の入力・編集,19,3,35.08771929824562
additional,all,anti,F-005,申請の下書き保存,19,2,50.0
additional,all,anti,F-006,申請の提出（申請番号採番・承認者決定）,19,6,37.719298245614034
additional,all,anti,F-007,申請一覧表示,19,3,45.6140350877193
additional,all,anti,F-008,申請の検索・絞り込み,19,4,59.21052631578947
additional,all,anti,F-009,申請詳細表示,19,2,63.1578947368421
additional,all,anti,F-010,承認者による承認処理,19,3,49.12280701754386
additional,all,anti,F-011,承認者による差し戻し処理,19,2,0.0
additional,all,anti,F-012,申請者による申請取り消し,19,2,0.0
additional,all,anti,F-013,申請ステータス管理（遷移定義）,19,2,0.0
additional,all,anti,F-014,メール通知,19,2,0.0
additional,all,anti,F-015,承認履歴表示,19,1,0.0
additional,all,anti,F-016,CSVエクスポート,19,3,36.8421052631579
additional,all,anti,F-017,ダッシュボード,19,2,31.57894736842105
additional,all,anti,F-018,ユーザー一覧・編集（管理者機能）,19,3,75.43859649122807
additional,all,anti,F-019,パスワード変更,19,3,73.6842105263158
additional,all,anti,F-020,システム設定（管理者機能）,19,4,65.78947368421052
additional,muse-spark-1.2-contributor,normal,F-001,ユーザー登録,18,4,90.27777777777777
additional,muse-spark-1.2-contributor,normal,F-002,ログイン・ログアウト,18,4,66.66666666666667
additional,muse-spark-1.2-contributor,normal,F-003,申請書の新規作成,18,2,72.22222222222223
additional,muse-spark-1.2-contributor,normal,F-004,申請内容の入力・編集,18,3,53.70370370370371
additional,muse-spark-1.2-contributor,normal,F-005,申請の下書き保存,18,2,33.333333333333336
additional,muse-spark-1.2-contributor,normal,F-006,申請の提出（申請番号採番・承認者決定）,18,6,79.62962962962963
additional,muse-spark-1.2-contributor,normal,F-007,申請一覧表示,18,3,66.66666666666667
additional,muse-spark-1.2-contributor,normal,F-008,申請の検索・絞り込み,18,4,76.38888888888889
additional,muse-spark-1.2-contributor,normal,F-009,申請詳細表示,18,2,50.0
additional,muse-spark-1.2-contributor,normal,F-010,承認者による承認処理,18,3,70.37037037037037
additional,muse-spark-1.2-contributor,normal,F-011,承認者による差し戻し処理,18,2,55.55555555555556
additional,muse-spark-1.2-contributor,normal,F-012,申請者による申請取り消し,18,2,63.888888888888886
additional,muse-spark-1.2-contributor,normal,F-013,申請ステータス管理（遷移定義）,18,2,41.666666666666664
additional,muse-spark-1.2-contributor,normal,F-014,メール通知,18,2,72.22222222222223
additional,muse-spark-1.2-contributor,normal,F-015,承認履歴表示,18,1,5.555555555555555
additional,muse-spark-1.2-contributor,normal,F-016,CSVエクスポート,18,3,48.14814814814815
additional,muse-spark-1.2-contributor,normal,F-017,ダッシュボード,18,2,47.22222222222222
additional,muse-spark-1.2-contributor,normal,F-018,ユーザー一覧・編集（管理者機能）,18,3,75.92592592592592
additional,muse-spark-1.2-contributor,normal,F-019,パスワード変更,18,3,77.77777777777779
additional,muse-spark-1.2-contributor,normal,F-020,システム設定（管理者機能）,18,4,70.83333333333333
additional,muse-spark-1.2-contributor,anti,F-001,ユーザー登録,19,4,88.15789473684211
additional,muse-spark-1.2-contributor,anti,F-002,ログイン・ログアウト,19,4,63.1578947368421
additional,muse-spark-1.2-contributor,anti,F-003,申請書の新規作成,19,2,57.89473684210526
additional,muse-spark-1.2-contributor,anti,F-004,申請内容の入力・編集,19,3,35.08771929824562
additional,muse-spark-1.2-contributor,anti,F-005,申請の下書き保存,19,2,50.0
additional,muse-spark-1.2-contributor,anti,F-006,申請の提出（申請番号採番・承認者決定）,19,6,37.719298245614034
additional,muse-spark-1.2-contributor,anti,F-007,申請一覧表示,19,3,45.6140350877193
additional,muse-spark-1.2-contributor,anti,F-008,申請の検索・絞り込み,19,4,59.21052631578947
additional,muse-spark-1.2-contributor,anti,F-009,申請詳細表示,19,2,63.1578947368421
additional,muse-spark-1.2-contributor,anti,F-010,承認者による承認処理,19,3,49.12280701754386
additional,muse-spark-1.2-contributor,anti,F-011,承認者による差し戻し処理,19,2,0.0
additional,muse-spark-1.2-contributor,anti,F-012,申請者による申請取り消し,19,2,0.0
additional,muse-spark-1.2-contributor,anti,F-013,申請ステータス管理（遷移定義）,19,2,0.0
additional,muse-spark-1.2-contributor,anti,F-014,メール通知,19,2,0.0
additional,muse-spark-1.2-contributor,anti,F-015,承認履歴表示,19,1,0.0
additional,muse-spark-1.2-contributor,anti,F-016,CSVエクスポート,19,3,36.8421052631579
additional,muse-spark-1.2-contributor,anti,F-017,ダッシュボード,19,2,31.57894736842105
additional,muse-spark-1.2-contributor,anti,F-018,ユーザー一覧・編集（管理者機能）,19,3,75.43859649122807
additional,muse-spark-1.2-contributor,anti,F-019,パスワード変更,19,3,73.6842105263158
additional,muse-spark-1.2-contributor,anti,F-020,システム設定（管理者機能）,19,4,65.78947368421052
cumulative,all,normal,F-001,ユーザー登録,28,4,90.17857142857143
cumulative,all,normal,F-002,ログイン・ログアウト,28,4,67.85714285714286
cumulative,all,normal,F-003,申請書の新規作成,28,2,66.07142857142857
cumulative,all,normal,F-004,申請内容の入力・編集,28,3,50.0
cumulative,all,normal,F-005,申請の下書き保存,28,2,50.0
cumulative,all,normal,F-006,申請の提出（申請番号採番・承認者決定）,28,6,86.30952380952381
cumulative,all,normal,F-007,申請一覧表示,28,3,58.333333333333336
cumulative,all,normal,F-008,申請の検索・絞り込み,28,4,74.10714285714286
cumulative,all,normal,F-009,申請詳細表示,28,2,57.142857142857146
cumulative,all,normal,F-010,承認者による承認処理,28,3,73.80952380952381
