stratum,metric,pairs,mean,lower,upper
previous,token_difference,10,-825262.1,-1785974.5,321127.2
previous,pass_rate_difference_pp,10,-25.263157894736846,-38.42105263157895,-13.508771929824565
additional,token_difference,20,-3548118.15,-9800653.591249999,683164.3424999977
additional,pass_rate_difference_pp,17,-16.61506707946337,-32.507739938080505,-1.2383900928792617
cumulative,token_difference,30,-2640499.466666667,-6755980.6658333335,192050.6199999978
cumulative,pass_rate_difference_pp,27,-19.818063677712804,-30.66926575698506,-8.966861598440548
