stratum,condition,n,pearson,spearman
previous,all,20,0.23299659358529157,0.13827140689659403
previous,normal,10,-0.47018197855292215,-0.5865203310398369
previous,anti,10,0.2180681680577461,0.18237166310401937
additional,all,37,0.10922141679646823,0.13225707311065338
additional,normal,18,0.2107736432250608,0.27136377162125613
additional,anti,19,-0.07250861678852714,-0.006159290096497119
cumulative,all,57,0.12902299004465498,0.14849791657771563
cumulative,normal,28,0.16314636380000422,0.06092229306467033
cumulative,anti,29,-0.0009673845423704881,0.06987675621662161
