run_id,batch,condition,model_id,test_id,feature_id,dependency_group,passed,source_passed,required_cases
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-004-02,F-004,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-004-03,F-004,other,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-005-01,F-005,other,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-005-02,F-005,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-006-01,F-006,direct_threshold,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-006-02,F-006,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-006-03,F-006,direct_threshold,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-006-04,F-006,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-006-05,F-006,direct_threshold,0,0,2
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-006-06,F-006,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-007-01,F-007,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-007-02,F-007,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-007-03,F-007,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-008-01,F-008,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-008-02,F-008,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-008-03,F-008,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-008-04,F-008,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-009-01,F-009,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-009-02,F-009,other,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-010-01,F-010,downstream_threshold,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-010-02,F-010,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-010-03,F-010,other,1,1,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-011-01,F-011,downstream_threshold,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-011-02,F-011,downstream_threshold,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-012-01,F-012,downstream_threshold,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-012-02,F-012,downstream_threshold,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-013-01,F-013,downstream_threshold,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-013-02,F-013,downstream_threshold,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-014-01,F-014,downstream_threshold,0,0,1
11440dd4-c70f-466e-b37a-96376727430e,previous,anti,muse-spark-1.2-contributor,T-014-02,F-014,downstream_threshold,0,0,1
