excluded_pair,token_difference,passed_difference
1,-847707.3333333334,-16.11111111111111
2,-1255058.111111111,-14.11111111111111
3,-1081812.3333333333,-14.555555555555555
4,-686559.3333333334,-11.666666666666666
5,-702396,-13.666666666666666
6,-596953.6666666666,-14.777777777777779
7,-853577.2222222222,-15
8,-672458.5555555555,-15
9,-788160,-16
10,-767938.4444444445,-13.11111111111111
