planned_run,run_id,condition,pair_id,execution_order,first_condition,recorded_total_tokens,source_total_tokens,source_usage_complete,passed_ids,denominator,recorded_pass_rate,evaluation_uuid,evaluation_validity,submission_hash,elapsed_seconds,http_200,http_400,raw_end_reason,exit_code
anti-001,256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti,1,1,anti,7168678,7168678,True,32,57,56.14035087719298,55cb359f-b3d4-4718-9ff0-7d22e8a8d291,invalid,f21b262efb7e3e444d3bb9cc2176ccdc45cb4b501d6ebe3e9076cda047cbcd6a,1102.122734233,127,0,agent_error,137
normal-001,daedcc21-8243-4234-8df7-945db1b684c0,normal,1,2,anti,7791933,,False,31,57,54.3859649122807,04d5df29-90d6-4c89-8a4e-f7c4946b2b96,pending,6cfe9293f5ebb775cf4a0c3af4f5191fadd02ccc7dd88741b8aba3a30dda4f63,672.9076047140001,124,10,agent_completed,0
normal-002,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,2,3,normal,5938760,5938760,True,50,57,87.71929824561404,34f2bf8a-14bb-4ccf-a834-fd95f57120a6,pending,2a864e4618996c56344eee0d4b76a8bf1e11b5bf080029b49dc4dd3eb225a238,645.8316490139999,118,0,agent_completed,0
anti-002,11440dd4-c70f-466e-b37a-96376727430e,anti,2,4,normal,8981662,,False,33,57,57.89473684210526,5a74c522-9727-460f-b330-b0b9674ddcab,pending,0738b0e902b4be6232bbb1e299234079ba2ddd78359300a1dceb06095a3f90b7,769.2288236669999,153,4,agent_completed,0
anti-003,9a8c5ff6-e5df-4b20-8646-cf11e16ed257,anti,3,5,anti,9125827,9125827,True,29,57,50.87719298245614,7e20cd9d-2f88-415a-934f-14ecf781a9d1,pending,87f736835260b0da2198fd1f5e119854fb4c43be7c74974009ee3ad5f17c8132,705.007227821,152,0,agent_completed,137
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,3,6,anti,7642137,,False,42,57,73.6842105263158,79c28b3a-4baa-4a81-a83c-a8f42da4b717,pending,dd718aa97992f40afe4eb0d419019b40d290e736c32adfd4edabbe01db9e9acf,622.5546170000002,124,3,agent_completed,137
anti-004,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,4,7,anti,5091795,5091795,True,3,57,5.2631578947368425,b51d0072-9a86-4e06-95a7-7bc1562d771c,pending,f0d2598cc2dcac3622ddb92cd91cf44cd607af8201da622a13542554b66b62d9,722.8375337469997,102,0,agent_completed,0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,4,8,anti,7165382,7165382,True,42,57,73.6842105263158,7d42fdd0-7a68-4b11-bfe3-a1f1a5fb3b46,pending,8856d45fdda3dc43ccc923b1bbb8a2b7f6654c0c4b9ca08dcacda95425633fac,653.6502480969993,133,0,agent_completed,0
normal-005,4fec6537-4704-46a5-a732-8ea312b2551c,normal,5,9,normal,7257799,,False,42,57,73.6842105263158,bed22a25-b5e5-4124-be25-eaf44f2023d0,pending,8ab09258b63c9886ad4add70c5518e0c60b4a8290aa01acd7afe4fc2717330a9,731.0838700370005,117,9,agent_completed,137
anti-005,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,5,10,normal,5326742,5326742,True,21,57,36.8421052631579,e3e6f2e9-b0b8-4f4b-ac43-376a06f2773c,pending,d4e26ddee8486f2dbb325043160d9d7b89cbd737bff1c302604d9c83d49dfe52,656.4344648040005,118,0,agent_completed,0
