run_id,planned_run,condition,feature_id,feature_title,ids,passed_ids,recorded_pass_rate
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-001,ユーザー登録,4,4,100.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-002,ログイン・ログアウト,4,3,75.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-003,申請書の新規作成,2,2,100.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-004,申請内容の入力・編集,3,2,66.66666666666667
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-005,申請の下書き保存,2,2,100.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-006,申請の提出（申請番号採番・承認者決定）,6,3,50.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-007,申請一覧表示,3,0,0.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-008,申請の検索・絞り込み,4,2,50.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-009,申請詳細表示,2,1,50.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-010,承認者による承認処理,3,2,66.66666666666667
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-011,承認者による差し戻し処理,2,0,0.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-012,申請者による申請取り消し,2,0,0.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-013,申請ステータス管理（遷移定義）,2,0,0.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-014,メール通知,2,0,0.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-015,承認履歴表示,1,0,0.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-016,CSVエクスポート,3,1,33.333333333333336
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-017,ダッシュボード,2,0,0.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-018,ユーザー一覧・編集（管理者機能）,3,3,100.0
256a2bf5-a8db-4a43-81bc-17bc38eda0d3,anti-001,anti,F-019,パスワード変更,3,3,100.0
