condition,recorded_tokens,http_200,recorded_tokens_per_200,mean_elapsed_seconds,median_elapsed_seconds
normal,71287304,1270,56131.73543307087,717.6602824333999,663.2789264054998
anti,63034683,1154,54622.775563258234,736.5443646806997,713.9223807839999
