label,pairs,token_difference,passed_difference,pass_rate_difference_pp
全10ペア,10,-825262.1,-14.4,-25.263157894736846
前半5ペア,5,-20261.4,-17.8,-31.228070175438603
後半5ペア,5,-1630262.8,-11,-19.29824561403509
通常条件が先行,4,-584654.75,-14.5,-25.438596491228076
不整合条件が先行,6,-985667,-14.333333333333334,-25.14619883040936
最初のペアを除外,9,-847707.3333333334,-16.11111111111111,-28.265107212475638
