run_id,evaluation_uuid,test_id,case_id,status,score_available
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-014-02,main,pass,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-015-01,main,fail,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-016-01,main,fail,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-016-02,main,pass,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-016-03,main,pass,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-017-01,main,fail,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-017-02,main,pass,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-018-01,main,pass,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-018-02,main,pass,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-018-03,main,pass,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-019-01,main,fail,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-019-02,main,pass,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-019-03,main,pass,True
00f64f52-6070-4f28-9070-cc52bdf4de13,4922d5a7-60a4-457b-87d1-0e5de58f3361,T-020-01,main,pass,True
