run_id,label,condition,test_id,title,feature_id,category,required_cases,raw_status,source_passed,passed
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-001-01,🟢 正常系: ユーザー新規登録,F-001,normal,1,pass,1,1
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-001-02,🔴 異常系: メールアドレス重複エラー,F-001,negative,1,pass,1,1
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-001-03,🔴 異常系: パスワード強度不足エラー,F-001,negative,1,pass,1,1
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-001-04,🔴 異常系: パスワード不一致エラー,F-001,negative,1,pass,1,1
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-002-01,🟢 正常系: ログイン成功,F-002,normal,1,pass,1,1
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-002-02,🟢 正常系: ログアウト成功,F-002,normal,1,fail,0,0
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-002-03,🔴 異常系: 認証失敗,F-002,negative,1,pass,1,1
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-002-04,🔴 異常系: アカウントロック,F-002,negative,1,pass,1,1
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-003-01,🟢 正常系: 申請種別選択と入力フォーム表示,F-003,normal,1,pass,1,1
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-003-02,🔴 異常系: 申請種別未選択エラー,F-003,negative,1,fail,0,0
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-004-01,🟢 正常系: 申請内容の入力,F-004,normal,1,pass,1,1
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-004-02,🔴 異常系: 申請金額範囲外エラー,F-004,negative,1,fail,0,0
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-004-03,🔴 異常系: ファイルサイズ超過エラー,F-004,negative,1,fail,0,0
00f64f52-6070-4f28-9070-cc52bdf4de13,N-00f64f,normal,T-005-01,🟢 正常系: 下書き保存,F-005,normal,1,fail,0,0
