label,run_id,condition,model_id,recorded_total_tokens,source_total_tokens,source_usage_complete,evaluation_outcome,evaluation_validity,effective_quality,evaluation_uuid,submission_hash,raw_end_reason,exit_code,elapsed_seconds,completion_declaration_captured,static_threshold_yen,recorded_threshold_yen,explicit_conflict_recorded,business_assertion_reached,prerequisite_blocked,evaluation_unresolved,reachability_unknown,recorded_input_tokens,recorded_output_tokens,recorded_cached_input_tokens,usage_requests,cached_detail_requests,http_200,http_400,http_429,http_503,score_available,passed_ids,pass_rate,source_passed_ids,source_failed_cases,source_blocked_cases,tokens_per_recorded_request
N-451385,451385f8-693c-4881-927a-2fd87ad343e5,normal,muse-spark-1.2-contributor,4030191,4030191,True,completed,pending,,b22545a8-8448-40f7-a4f4-9c53fcd1fb58,69f8db1639de8fefc3d08d222edbdc0f40a5de815cf541ad547347d9b2685e90,agent_completed,0,543.577822876,True,1000000,1000000,False,26,29,32,0,3982787,47404,3890535,88,88,88,0,0,0,True,19,33.333333333333336,19,10,29,45797.625
A-47b5dc,47b5dc69-6cad-48e4-9959-339ef37bccd4,anti,muse-spark-1.2-contributor,5091795,5091795,True,completed,pending,,b51d0072-9a86-4e06-95a7-7bc1562d771c,f0d2598cc2dcac3622ddb92cd91cf44cd607af8201da622a13542554b66b62d9,agent_completed,0,722.8375337469997,False,500000,500000,True,6,54,0,0,5041622,50173,4948245,102,102,102,0,0,0,True,3,5.2631578947368425,3,1,54,49919.55882352941
N-4fec65,4fec6537-4704-46a5-a732-8ea312b2551c,normal,muse-spark-1.2-contributor,7257799,,False,completed,pending,,bed22a25-b5e5-4124-be25-eaf44f2023d0,8ab09258b63c9886ad4add70c5518e0c60b4a8290aa01acd7afe4fc2717330a9,agent_completed,137,731.0838700370005,True,1000000,1000000,False,53,0,6,0,7190303,67496,7070388,117,117,117,9,0,0,True,42,73.6842105263158,42,15,0,62032.470085470086
N-51463b,51463b84-66e0-4a29-9992-b74a598cf1cc,normal,muse-spark-1.2-contributor,11217678,,False,completed,pending,,42139772-695b-4dbe-94a7-742314e4f2aa,ab36fa5f464705d3d6a1fa9ef58dbe99885234ad3ee00d638930c2e456cfbf7c,agent_completed,0,959.6846324829994,False,1000000,1000000,False,56,0,2,0,11156229,61449,10928356,166,166,166,13,0,0,True,46,80.70175438596492,46,11,0,67576.3734939759
N-5864c2,5864c2dd-59e9-4a85-b07d-28c093aaa16a,normal,muse-spark-1.2-contributor,4149022,4149022,True,completed,pending,,cf836794-f141-477b-9bd6-6313c02b0094,6aa8583465fa541a2cb03a636f7317135841aef9227f53607ff072ee7ce629d3,agent_completed,0,457.1234462279999,False,1000000,1000000,False,46,9,12,0,4107996,41026,4020809,90,90,90,0,0,0,True,38,66.66666666666667,38,10,9,46100.24444444444
A-5a7c90,5a7c902f-5503-4289-9afc-76609043cc3a,anti,muse-spark-1.2-contributor,4336507,4336507,True,completed,pending,,7c3b137f-12b1-49f0-a05c-ff3ad1b0c5c5,f808d727094fd9dc89f818610dc836b2150656f953b8206801b287ea6ac7ed97,agent_completed,0,490.04248809899946,False,500000,500000,True,50,0,8,0,4295566,40941,4197690,91,91,91,0,0,0,True,38,66.66666666666667,38,19,0,47653.92307692308
A-600f4b,600f4ba8-acdf-42ae-99e7-c86b95372d7e,anti,muse-spark-1.2-contributor,5326742,5326742,True,completed,pending,,e3e6f2e9-b0b8-4f4b-ac43-376a06f2773c,d4e26ddee8486f2dbb325043160d9d7b89cbd737bff1c302604d9c83d49dfe52,agent_completed,0,656.4344648040005,False,500000,500000,True,26,29,32,0,5279334,47408,5188517,118,118,118,0,0,0,True,21,36.8421052631579,21,8,29,45141.8813559322
A-69c2fc,69c2fcf8-cab9-49f0-ae99-d1aef80a64ab,anti,muse-spark-1.2-contributor,3965456,3965456,True,completed,pending,,b49f8844-5ba3-4166-a62a-62434e0083f7,709a3dc39689b1f0b71336fed4f99ddab7e6bf5efa6fcdf6fe3e0671b510d726,agent_completed,0,604.0726913000017,True,500000,500000,True,40,8,18,0,3918555,46901,3824464,81,81,81,0,0,0,True,31,54.3859649122807,31,18,8,48956.246913580246
A-6a0f73,6a0f735d-c6df-4cd3-bcb6-489807e94b58,anti,muse-spark-1.2-contributor,6717113,6717113,True,completed,pending,,11c23cd6-35fd-42df-8884-61694e5b58e5,278b84a3fbccf922ecf217a7e7499c8c0860d27ac7172c871e07fa8aad423a95,agent_completed,0,768.5682422890004,False,500000,500000,True,47,1,11,0,6668257,48856,6490571,125,125,125,0,0,0,True,37,64.91228070175438,37,19,1,53736.904
N-6a3016,6a301665-ffc6-40e3-918a-d7fad37e8d29,normal,muse-spark-1.2-contributor,5938760,5938760,True,completed,pending,,34f2bf8a-14bb-4ccf-a834-fd95f57120a6,2a864e4618996c56344eee0d4b76a8bf1e11b5bf080029b49dc4dd3eb225a238,agent_completed,0,645.8316490139999,False,1000000,1000000,False,56,0,2,0,5888527,50233,5789221,118,118,118,0,0,0,True,50,87.71929824561404,50,7,0,50328.47457627119
