condition,top_k,tokens,share
normal,1,64175188,0.22868700954152105
normal,3,92966595,0.33128461731670694
normal,5,115303483,0.41088167465892905
anti,1,14864139,0.07380056302292422
anti,3,35109880,0.1743208208472288
anti,5,53217369,0.26422464125225914
