condition,started,scored,whole_unavailable,usage_incomplete,total_tokens,passed_ids,failed_ids,blocked_ids,invalid,pending,effective_quality_available,recorded_input_tokens,recorded_output_tokens,recorded_cached_input_tokens,usage_requests,http_200,http_400,business_assertion_reached,prerequisite_blocked,evaluation_unresolved,reachability_unknown
normal,30,28,2,12,280624545,1077,332,187,0,30,0,278903015,1721530,273984611,4277,4281,305,1292,188,336,116
anti,30,29,1,6,201409561,768,516,369,1,29,0,199790157,1619404,196103988,3605,3605,42,1040,375,436,58
